"Year","Sex","ASR","CrudeRate","AgeGroup","Value"
2021,"Males",2.4,5.6,"0-4",0
2021,"Females",1.3,3.2,"0-4",0
2020,"Males",2.4,5.5,"0-4",0
2020,"Females",1,2.6,"0-4",0
2019,"Males",2.9,5.8,"0-4",0
2019,"Females",1.1,2.4,"0-4",0
2018,"Males",3.1,6.2,"0-4",0
2018,"Females",1.2,2.8,"0-4",0
2017,"Males",2.6,5.2,"0-4",0
2017,"Females",1.6,3.5,"0-4",0
2016,"Males",3,5.8,"0-4",0
2016,"Females",1.4,2.7,"0-4",0
2015,"Males",3.8,7.3,"0-4",0
2015,"Females",1.8,3.6,"0-4",0
2014,"Males",3.5,6.6,"0-4",0
2014,"Females",1.4,3,"0-4",0
2013,"Males",5,8.8,"0-4",0
2013,"Females",2,4.1,"0-4",0
2012,"Males",4,7.6,"0-4",0
2012,"Females",1.8,3.6,"0-4",0
2011,"Males",4.7,8,"0-4",0
2011,"Females",2,3.8,"0-4",0
2010,"Males",4.5,7.7,"0-4",0
2010,"Females",1.7,3.4,"0-4",0
2009,"Males",4.9,8.3,"0-4",0
2009,"Females",1.8,3.6,"0-4",0
2008,"Males",4.3,7.2,"0-4",0
2008,"Females",1.8,3.5,"0-4",0
2007,"Males",4.5,7.4,"0-4",0
2007,"Females",2,3.6,"0-4",0
2006,"Males",4,6.8,"0-4",0
2006,"Females",2.2,4.1,"0-4",0
2005,"Males",3.9,6.3,"0-4",0
2005,"Females",1.9,3.3,"0-4",0
2004,"Males",4.6,7.2,"0-4",0
2004,"Females",2,3.6,"0-4",0
2003,"Males",4.2,6.5,"0-4",0
2003,"Females",1.9,3.2,"0-4",0
2002,"Males",3.6,5.6,"0-4",0
2002,"Females",1.9,3.4,"0-4",0
2001,"Males",3.7,5.5,"0-4",0
2001,"Females",2,3.4,"0-4",0
2000,"Males",3.7,5.6,"0-4",0
2000,"Females",2.2,3.7,"0-4",0
1999,"Males",3.6,5.1,"0-4",0
1999,"Females",2.3,3.5,"0-4",0
1998,"Males",4.3,6,"0-4",0
1998,"Females",2.1,3.6,"0-4",0
1997,"Males",4,5.5,"0-4",0
1997,"Females",2.1,3.5,"0-4",0
1996,"Males",4.3,5.9,"0-4",0
1996,"Females",1.5,2.9,"0-4",0
1995,"Males",4.5,5.8,"0-4",0
1995,"Females",2.7,4.1,"0-4",0
1994,"Males",4.1,5.3,"0-4",0
1994,"Females",1.9,2.9,"0-4",0
1993,"Males",4.2,5.4,"0-4",0
1993,"Females",1.9,2.9,"0-4",0
1992,"Males",3.9,4.9,"0-4",0
1992,"Females",2.5,3.6,"0-4",0
1991,"Males",3.8,4.8,"0-4",0
1991,"Females",2.3,3.2,"0-4",0
1990,"Males",4,4.8,"0-4",0
1990,"Females",2.3,3.3,"0-4",0
1989,"Males",3.9,4.7,"0-4",0
1989,"Females",2.5,3.2,"0-4",0
1988,"Males",4.3,5.1,"0-4",0
1988,"Females",2.4,3.4,"0-4",0
1987,"Males",4.3,5,"0-4",0
1987,"Females",2.2,3.3,"0-4",0
1986,"Males",3.4,4,"0-4",0
1986,"Females",2.3,3,"0-4",0.7
1985,"Males",3.2,3.7,"0-4",0
1985,"Females",2.8,3.6,"0-4",0
1984,"Males",3.9,4.3,"0-4",0
1984,"Females",2.1,3.1,"0-4",0
1983,"Males",4,4.6,"0-4",0
1983,"Females",2.9,3.9,"0-4",0
1982,"Males",3.7,4.1,"0-4",0
1982,"Females",2.4,3.1,"0-4",0
2021,"Males",2.4,5.6,"5-9",0
2021,"Females",1.3,3.2,"5-9",0
2020,"Males",2.4,5.5,"5-9",0
2020,"Females",1,2.6,"5-9",0
2019,"Males",2.9,5.8,"5-9",0
2019,"Females",1.1,2.4,"5-9",0
2018,"Males",3.1,6.2,"5-9",0
2018,"Females",1.2,2.8,"5-9",0
2017,"Males",2.6,5.2,"5-9",0
2017,"Females",1.6,3.5,"5-9",0
2016,"Males",3,5.8,"5-9",0
2016,"Females",1.4,2.7,"5-9",0
2015,"Males",3.8,7.3,"5-9",0
2015,"Females",1.8,3.6,"5-9",0
2014,"Males",3.5,6.6,"5-9",0
2014,"Females",1.4,3,"5-9",0
2013,"Males",5,8.8,"5-9",0
2013,"Females",2,4.1,"5-9",0
2012,"Males",4,7.6,"5-9",0
2012,"Females",1.8,3.6,"5-9",0
2011,"Males",4.7,8,"5-9",0
2011,"Females",2,3.8,"5-9",0
2010,"Males",4.5,7.7,"5-9",0
2010,"Females",1.7,3.4,"5-9",0
2009,"Males",4.9,8.3,"5-9",0
2009,"Females",1.8,3.6,"5-9",0
2008,"Males",4.3,7.2,"5-9",0
2008,"Females",1.8,3.5,"5-9",0
2007,"Males",4.5,7.4,"5-9",0
2007,"Females",2,3.6,"5-9",0
2006,"Males",4,6.8,"5-9",0.6
2006,"Females",2.2,4.1,"5-9",0
2005,"Males",3.9,6.3,"5-9",0
2005,"Females",1.9,3.3,"5-9",0
2004,"Males",4.6,7.2,"5-9",0
2004,"Females",2,3.6,"5-9",0
2003,"Males",4.2,6.5,"5-9",0
2003,"Females",1.9,3.2,"5-9",0
2002,"Males",3.6,5.6,"5-9",0
2002,"Females",1.9,3.4,"5-9",0
2001,"Males",3.7,5.5,"5-9",0
2001,"Females",2,3.4,"5-9",0
2000,"Males",3.7,5.6,"5-9",0
2000,"Females",2.2,3.7,"5-9",0
1999,"Males",3.6,5.1,"5-9",0
1999,"Females",2.3,3.5,"5-9",0
1998,"Males",4.3,6,"5-9",0
1998,"Females",2.1,3.6,"5-9",0
1997,"Males",4,5.5,"5-9",0
1997,"Females",2.1,3.5,"5-9",0
1996,"Males",4.3,5.9,"5-9",0
1996,"Females",1.5,2.9,"5-9",0
1995,"Males",4.5,5.8,"5-9",0
1995,"Females",2.7,4.1,"5-9",0
1994,"Males",4.1,5.3,"5-9",0
1994,"Females",1.9,2.9,"5-9",0
1993,"Males",4.2,5.4,"5-9",0
1993,"Females",1.9,2.9,"5-9",0
1992,"Males",3.9,4.9,"5-9",0
1992,"Females",2.5,3.6,"5-9",0
1991,"Males",3.8,4.8,"5-9",0
1991,"Females",2.3,3.2,"5-9",0
1990,"Males",4,4.8,"5-9",0
1990,"Females",2.3,3.3,"5-9",0
1989,"Males",3.9,4.7,"5-9",0
1989,"Females",2.5,3.2,"5-9",0
1988,"Males",4.3,5.1,"5-9",0
1988,"Females",2.4,3.4,"5-9",0
1987,"Males",4.3,5,"5-9",0
1987,"Females",2.2,3.3,"5-9",0
1986,"Males",3.4,4,"5-9",0
1986,"Females",2.3,3,"5-9",0
1985,"Males",3.2,3.7,"5-9",0
1985,"Females",2.8,3.6,"5-9",0
1984,"Males",3.9,4.3,"5-9",0
1984,"Females",2.1,3.1,"5-9",0
1983,"Males",4,4.6,"5-9",0
1983,"Females",2.9,3.9,"5-9",0
1982,"Males",3.7,4.1,"5-9",0
1982,"Females",2.4,3.1,"5-9",0
2021,"Males",2.4,5.6,"10-14",0
2021,"Females",1.3,3.2,"10-14",0
2020,"Males",2.4,5.5,"10-14",0
2020,"Females",1,2.6,"10-14",0
2019,"Males",2.9,5.8,"10-14",0
2019,"Females",1.1,2.4,"10-14",0
2018,"Males",3.1,6.2,"10-14",0
2018,"Females",1.2,2.8,"10-14",0
2017,"Males",2.6,5.2,"10-14",0
2017,"Females",1.6,3.5,"10-14",0
2016,"Males",3,5.8,"10-14",0
2016,"Females",1.4,2.7,"10-14",0
2015,"Males",3.8,7.3,"10-14",0
2015,"Females",1.8,3.6,"10-14",0
2014,"Males",3.5,6.6,"10-14",0
2014,"Females",1.4,3,"10-14",0
2013,"Males",5,8.8,"10-14",0
2013,"Females",2,4.1,"10-14",0
2012,"Males",4,7.6,"10-14",0
2012,"Females",1.8,3.6,"10-14",0
2011,"Males",4.7,8,"10-14",0
2011,"Females",2,3.8,"10-14",0
2010,"Males",4.5,7.7,"10-14",0
2010,"Females",1.7,3.4,"10-14",0
2009,"Males",4.9,8.3,"10-14",0
2009,"Females",1.8,3.6,"10-14",0
2008,"Males",4.3,7.2,"10-14",0
2008,"Females",1.8,3.5,"10-14",0
2007,"Males",4.5,7.4,"10-14",0
2007,"Females",2,3.6,"10-14",0
2006,"Males",4,6.8,"10-14",0
2006,"Females",2.2,4.1,"10-14",0
2005,"Males",3.9,6.3,"10-14",0
2005,"Females",1.9,3.3,"10-14",0
2004,"Males",4.6,7.2,"10-14",0
2004,"Females",2,3.6,"10-14",0.6
2003,"Males",4.2,6.5,"10-14",0
2003,"Females",1.9,3.2,"10-14",0
2002,"Males",3.6,5.6,"10-14",0
2002,"Females",1.9,3.4,"10-14",0
2001,"Males",3.7,5.5,"10-14",0
2001,"Females",2,3.4,"10-14",0
2000,"Males",3.7,5.6,"10-14",0
2000,"Females",2.2,3.7,"10-14",0
1999,"Males",3.6,5.1,"10-14",0
1999,"Females",2.3,3.5,"10-14",0
1998,"Males",4.3,6,"10-14",0
1998,"Females",2.1,3.6,"10-14",0
1997,"Males",4,5.5,"10-14",0
1997,"Females",2.1,3.5,"10-14",0
1996,"Males",4.3,5.9,"10-14",0
1996,"Females",1.5,2.9,"10-14",0
1995,"Males",4.5,5.8,"10-14",0
1995,"Females",2.7,4.1,"10-14",0.7
1994,"Males",4.1,5.3,"10-14",0
1994,"Females",1.9,2.9,"10-14",0
1993,"Males",4.2,5.4,"10-14",0
1993,"Females",1.9,2.9,"10-14",0
1992,"Males",3.9,4.9,"10-14",0
1992,"Females",2.5,3.6,"10-14",0
1991,"Males",3.8,4.8,"10-14",0
1991,"Females",2.3,3.2,"10-14",0
1990,"Males",4,4.8,"10-14",0
1990,"Females",2.3,3.3,"10-14",0
1989,"Males",3.9,4.7,"10-14",0
1989,"Females",2.5,3.2,"10-14",0
1988,"Males",4.3,5.1,"10-14",0
1988,"Females",2.4,3.4,"10-14",0
1987,"Males",4.3,5,"10-14",0
1987,"Females",2.2,3.3,"10-14",0.6
1986,"Males",3.4,4,"10-14",0
1986,"Females",2.3,3,"10-14",0
1985,"Males",3.2,3.7,"10-14",0
1985,"Females",2.8,3.6,"10-14",0
1984,"Males",3.9,4.3,"10-14",0
1984,"Females",2.1,3.1,"10-14",0
1983,"Males",4,4.6,"10-14",0
1983,"Females",2.9,3.9,"10-14",0
1982,"Males",3.7,4.1,"10-14",0
1982,"Females",2.4,3.1,"10-14",0
2021,"Males",2.4,5.6,"15-19",0
2021,"Females",1.3,3.2,"15-19",0
2020,"Males",2.4,5.5,"15-19",0
2020,"Females",1,2.6,"15-19",0
2019,"Males",2.9,5.8,"15-19",0
2019,"Females",1.1,2.4,"15-19",0
2018,"Males",3.1,6.2,"15-19",0
2018,"Females",1.2,2.8,"15-19",0
2017,"Males",2.6,5.2,"15-19",0
2017,"Females",1.6,3.5,"15-19",0
2016,"Males",3,5.8,"15-19",0
2016,"Females",1.4,2.7,"15-19",0
2015,"Males",3.8,7.3,"15-19",0
2015,"Females",1.8,3.6,"15-19",0.6
2014,"Males",3.5,6.6,"15-19",0
2014,"Females",1.4,3,"15-19",0
2013,"Males",5,8.8,"15-19",0
2013,"Females",2,4.1,"15-19",0
2012,"Males",4,7.6,"15-19",0
2012,"Females",1.8,3.6,"15-19",0
2011,"Males",4.7,8,"15-19",0
2011,"Females",2,3.8,"15-19",0
2010,"Males",4.5,7.7,"15-19",0
2010,"Females",1.7,3.4,"15-19",0
2009,"Males",4.9,8.3,"15-19",0
2009,"Females",1.8,3.6,"15-19",0
2008,"Males",4.3,7.2,"15-19",0
2008,"Females",1.8,3.5,"15-19",0
2007,"Males",4.5,7.4,"15-19",0
2007,"Females",2,3.6,"15-19",0
2006,"Males",4,6.8,"15-19",0
2006,"Females",2.2,4.1,"15-19",0
2005,"Males",3.9,6.3,"15-19",0
2005,"Females",1.9,3.3,"15-19",0
2004,"Males",4.6,7.2,"15-19",0
2004,"Females",2,3.6,"15-19",0
2003,"Males",4.2,6.5,"15-19",0
2003,"Females",1.9,3.2,"15-19",0
2002,"Males",3.6,5.6,"15-19",0
2002,"Females",1.9,3.4,"15-19",0
2001,"Males",3.7,5.5,"15-19",0
2001,"Females",2,3.4,"15-19",0.6
2000,"Males",3.7,5.6,"15-19",0
2000,"Females",2.2,3.7,"15-19",0
1999,"Males",3.6,5.1,"15-19",0
1999,"Females",2.3,3.5,"15-19",0
1998,"Males",4.3,6,"15-19",0
1998,"Females",2.1,3.6,"15-19",0
1997,"Males",4,5.5,"15-19",0
1997,"Females",2.1,3.5,"15-19",0
1996,"Males",4.3,5.9,"15-19",0.6
1996,"Females",1.5,2.9,"15-19",0
1995,"Males",4.5,5.8,"15-19",0.6
1995,"Females",2.7,4.1,"15-19",0
1994,"Males",4.1,5.3,"15-19",0
1994,"Females",1.9,2.9,"15-19",0
1993,"Males",4.2,5.4,"15-19",0
1993,"Females",1.9,2.9,"15-19",0.6
1992,"Males",3.9,4.9,"15-19",0
1992,"Females",2.5,3.6,"15-19",0.6
1991,"Males",3.8,4.8,"15-19",0
1991,"Females",2.3,3.2,"15-19",0
1990,"Males",4,4.8,"15-19",0
1990,"Females",2.3,3.3,"15-19",0
1989,"Males",3.9,4.7,"15-19",0.5
1989,"Females",2.5,3.2,"15-19",0
1988,"Males",4.3,5.1,"15-19",0.5
1988,"Females",2.4,3.4,"15-19",0
1987,"Males",4.3,5,"15-19",0
1987,"Females",2.2,3.3,"15-19",0
1986,"Males",3.4,4,"15-19",0.5
1986,"Females",2.3,3,"15-19",0.6
1985,"Males",3.2,3.7,"15-19",0.6
1985,"Females",2.8,3.6,"15-19",0.6
1984,"Males",3.9,4.3,"15-19",0
1984,"Females",2.1,3.1,"15-19",0.6
1983,"Males",4,4.6,"15-19",0
1983,"Females",2.9,3.9,"15-19",0
1982,"Males",3.7,4.1,"15-19",0.6
1982,"Females",2.4,3.1,"15-19",0.6
2021,"Males",2.4,5.6,"20-24",0
2021,"Females",1.3,3.2,"20-24",0
2020,"Males",2.4,5.5,"20-24",0
2020,"Females",1,2.6,"20-24",0
2019,"Males",2.9,5.8,"20-24",0
2019,"Females",1.1,2.4,"20-24",0
2018,"Males",3.1,6.2,"20-24",0
2018,"Females",1.2,2.8,"20-24",0
2017,"Males",2.6,5.2,"20-24",0
2017,"Females",1.6,3.5,"20-24",0
2016,"Males",3,5.8,"20-24",0
2016,"Females",1.4,2.7,"20-24",0
2015,"Males",3.8,7.3,"20-24",0
2015,"Females",1.8,3.6,"20-24",0
2014,"Males",3.5,6.6,"20-24",0
2014,"Females",1.4,3,"20-24",0
2013,"Males",5,8.8,"20-24",0
2013,"Females",2,4.1,"20-24",0
2012,"Males",4,7.6,"20-24",0
2012,"Females",1.8,3.6,"20-24",0
2011,"Males",4.7,8,"20-24",0.5
2011,"Females",2,3.8,"20-24",0.5
2010,"Males",4.5,7.7,"20-24",0
2010,"Females",1.7,3.4,"20-24",0
2009,"Males",4.9,8.3,"20-24",0.5
2009,"Females",1.8,3.6,"20-24",0
2008,"Males",4.3,7.2,"20-24",0
2008,"Females",1.8,3.5,"20-24",0
2007,"Males",4.5,7.4,"20-24",0.5
2007,"Females",2,3.6,"20-24",0.5
2006,"Males",4,6.8,"20-24",0
2006,"Females",2.2,4.1,"20-24",0.6
2005,"Males",3.9,6.3,"20-24",0
2005,"Females",1.9,3.3,"20-24",0
2004,"Males",4.6,7.2,"20-24",0
2004,"Females",2,3.6,"20-24",0
2003,"Males",4.2,6.5,"20-24",1.2
2003,"Females",1.9,3.2,"20-24",0
2002,"Males",3.6,5.6,"20-24",0
2002,"Females",1.9,3.4,"20-24",0
2001,"Males",3.7,5.5,"20-24",1.2
2001,"Females",2,3.4,"20-24",0
2000,"Males",3.7,5.6,"20-24",0
2000,"Females",2.2,3.7,"20-24",0
1999,"Males",3.6,5.1,"20-24",0
1999,"Females",2.3,3.5,"20-24",1.3
1998,"Males",4.3,6,"20-24",0
1998,"Females",2.1,3.6,"20-24",0
1997,"Males",4,5.5,"20-24",0.6
1997,"Females",2.1,3.5,"20-24",0.6
1996,"Males",4.3,5.9,"20-24",0
1996,"Females",1.5,2.9,"20-24",0
1995,"Males",4.5,5.8,"20-24",0.6
1995,"Females",2.7,4.1,"20-24",0.6
1994,"Males",4.1,5.3,"20-24",0
1994,"Females",1.9,2.9,"20-24",0
1993,"Males",4.2,5.4,"20-24",0.5
1993,"Females",1.9,2.9,"20-24",0
1992,"Males",3.9,4.9,"20-24",1.1
1992,"Females",2.5,3.6,"20-24",0
1991,"Males",3.8,4.8,"20-24",0.5
1991,"Females",2.3,3.2,"20-24",0
1990,"Males",4,4.8,"20-24",0.5
1990,"Females",2.3,3.3,"20-24",0.6
1989,"Males",3.9,4.7,"20-24",0
1989,"Females",2.5,3.2,"20-24",0
1988,"Males",4.3,5.1,"20-24",1.1
1988,"Females",2.4,3.4,"20-24",0
1987,"Males",4.3,5,"20-24",0.6
1987,"Females",2.2,3.3,"20-24",0.6
1986,"Males",3.4,4,"20-24",0.6
1986,"Females",2.3,3,"20-24",0
1985,"Males",3.2,3.7,"20-24",1.1
1985,"Females",2.8,3.6,"20-24",0
1984,"Males",3.9,4.3,"20-24",1.1
1984,"Females",2.1,3.1,"20-24",0
1983,"Males",4,4.6,"20-24",0.6
1983,"Females",2.9,3.9,"20-24",1.1
1982,"Males",3.7,4.1,"20-24",2.3
1982,"Females",2.4,3.1,"20-24",1.2
2021,"Males",2.4,5.6,"25-29",0
2021,"Females",1.3,3.2,"25-29",0.4
2020,"Males",2.4,5.5,"25-29",0
2020,"Females",1,2.6,"25-29",0
2019,"Males",2.9,5.8,"25-29",0.4
2019,"Females",1.1,2.4,"25-29",0
2018,"Males",3.1,6.2,"25-29",0
2018,"Females",1.2,2.8,"25-29",0.4
2017,"Males",2.6,5.2,"25-29",0
2017,"Females",1.6,3.5,"25-29",0.4
2016,"Males",3,5.8,"25-29",0.4
2016,"Females",1.4,2.7,"25-29",0
2015,"Males",3.8,7.3,"25-29",0.4
2015,"Females",1.8,3.6,"25-29",0
2014,"Males",3.5,6.6,"25-29",0.4
2014,"Females",1.4,3,"25-29",0.4
2013,"Males",5,8.8,"25-29",0.9
2013,"Females",2,4.1,"25-29",0.4
2012,"Males",4,7.6,"25-29",0.5
2012,"Females",1.8,3.6,"25-29",0.9
2011,"Males",4.7,8,"25-29",2.3
2011,"Females",2,3.8,"25-29",0
2010,"Males",4.5,7.7,"25-29",0
2010,"Females",1.7,3.4,"25-29",0.5
2009,"Males",4.9,8.3,"25-29",1
2009,"Females",1.8,3.6,"25-29",2
2008,"Males",4.3,7.2,"25-29",1.6
2008,"Females",1.8,3.5,"25-29",0.5
2007,"Males",4.5,7.4,"25-29",0.5
2007,"Females",2,3.6,"25-29",2.2
2006,"Males",4,6.8,"25-29",0
2006,"Females",2.2,4.1,"25-29",0
2005,"Males",3.9,6.3,"25-29",2.3
2005,"Females",1.9,3.3,"25-29",0
2004,"Males",4.6,7.2,"25-29",0
2004,"Females",2,3.6,"25-29",1.2
2003,"Males",4.2,6.5,"25-29",1.8
2003,"Females",1.9,3.2,"25-29",0
2002,"Males",3.6,5.6,"25-29",0
2002,"Females",1.9,3.4,"25-29",0
2001,"Males",3.7,5.5,"25-29",0.6
2001,"Females",2,3.4,"25-29",1.1
2000,"Males",3.7,5.6,"25-29",0
2000,"Females",2.2,3.7,"25-29",0.5
1999,"Males",3.6,5.1,"25-29",0
1999,"Females",2.3,3.5,"25-29",0
1998,"Males",4.3,6,"25-29",0.6
1998,"Females",2.1,3.6,"25-29",0
1997,"Males",4,5.5,"25-29",0.6
1997,"Females",2.1,3.5,"25-29",0
1996,"Males",4.3,5.9,"25-29",0
1996,"Females",1.5,2.9,"25-29",0
1995,"Males",4.5,5.8,"25-29",1.1
1995,"Females",2.7,4.1,"25-29",0
1994,"Males",4.1,5.3,"25-29",0.6
1994,"Females",1.9,2.9,"25-29",1.1
1993,"Males",4.2,5.4,"25-29",0
1993,"Females",1.9,2.9,"25-29",0
1992,"Males",3.9,4.9,"25-29",0.6
1992,"Females",2.5,3.6,"25-29",0
1991,"Males",3.8,4.8,"25-29",0
1991,"Females",2.3,3.2,"25-29",0.6
1990,"Males",4,4.8,"25-29",1.1
1990,"Females",2.3,3.3,"25-29",2.2
1989,"Males",3.9,4.7,"25-29",0.5
1989,"Females",2.5,3.2,"25-29",0.5
1988,"Males",4.3,5.1,"25-29",1.7
1988,"Females",2.4,3.4,"25-29",0.6
1987,"Males",4.3,5,"25-29",1.1
1987,"Females",2.2,3.3,"25-29",0
1986,"Males",3.4,4,"25-29",1.1
1986,"Females",2.3,3,"25-29",0.6
1985,"Males",3.2,3.7,"25-29",1.2
1985,"Females",2.8,3.6,"25-29",1.2
1984,"Males",3.9,4.3,"25-29",0.6
1984,"Females",2.1,3.1,"25-29",0
1983,"Males",4,4.6,"25-29",1.2
1983,"Females",2.9,3.9,"25-29",0
1982,"Males",3.7,4.1,"25-29",1.8
1982,"Females",2.4,3.1,"25-29",1.2
2021,"Males",2.4,5.6,"30-34",0
2021,"Females",1.3,3.2,"30-34",0
2020,"Males",2.4,5.5,"30-34",0.4
2020,"Females",1,2.6,"30-34",0
2019,"Males",2.9,5.8,"30-34",0.8
2019,"Females",1.1,2.4,"30-34",0
2018,"Males",3.1,6.2,"30-34",0.8
2018,"Females",1.2,2.8,"30-34",0
2017,"Males",2.6,5.2,"30-34",0
2017,"Females",1.6,3.5,"30-34",0.4
2016,"Males",3,5.8,"30-34",0.9
2016,"Females",1.4,2.7,"30-34",0.4
2015,"Males",3.8,7.3,"30-34",0.9
2015,"Females",1.8,3.6,"30-34",0.9
2014,"Males",3.5,6.6,"30-34",0.5
2014,"Females",1.4,3,"30-34",0.9
2013,"Males",5,8.8,"30-34",0.9
2013,"Females",2,4.1,"30-34",0
2012,"Males",4,7.6,"30-34",0
2012,"Females",1.8,3.6,"30-34",0
2011,"Males",4.7,8,"30-34",1
