"Year","Sex","ASR","CrudeRate","AgeGroup","Value"
2015,"Females",1.8,3.6,"60-64",5.5
2014,"Males",3.5,6.6,"60-64",14.6
2014,"Females",1.4,3,"60-64",3.8
2013,"Males",5,8.8,"60-64",16.9
2013,"Females",2,4.1,"60-64",6.4
2012,"Males",4,7.6,"60-64",13.7
2012,"Females",1.8,3.6,"60-64",5.3
2011,"Males",4.7,8,"60-64",16.5
2011,"Females",2,3.8,"60-64",8.6
2010,"Males",4.5,7.7,"60-64",23.1
2010,"Females",1.7,3.4,"60-64",9.5
2009,"Males",4.9,8.3,"60-64",15.9
2009,"Females",1.8,3.6,"60-64",4.9
2008,"Males",4.3,7.2,"60-64",7.5
2008,"Females",1.8,3.5,"60-64",5.8
2007,"Males",4.5,7.4,"60-64",18.9
2007,"Females",2,3.6,"60-64",5.4
2006,"Males",4,6.8,"60-64",10.1
2006,"Females",2.2,4.1,"60-64",8.3
2005,"Males",3.9,6.3,"60-64",13.3
2005,"Females",1.9,3.3,"60-64",5.3
2004,"Males",4.6,7.2,"60-64",11.9
2004,"Females",2,3.6,"60-64",7.3
2003,"Males",4.2,6.5,"60-64",16
2003,"Females",1.9,3.2,"60-64",8.5
2002,"Males",3.6,5.6,"60-64",11.6
2002,"Females",1.9,3.4,"60-64",6.7
2001,"Males",3.7,5.5,"60-64",12.8
2001,"Females",2,3.4,"60-64",7.9
2000,"Males",3.7,5.6,"60-64",13.2
2000,"Females",2.2,3.7,"60-64",7
1999,"Males",3.6,5.1,"60-64",12.6
1999,"Females",2.3,3.5,"60-64",8.2
1998,"Males",4.3,6,"60-64",21.5
1998,"Females",2.1,3.6,"60-64",8.4
1997,"Males",4,5.5,"60-64",12.1
1997,"Females",2.1,3.5,"60-64",8.6
1996,"Males",4.3,5.9,"60-64",15.6
1996,"Females",1.5,2.9,"60-64",5.4
1995,"Males",4.5,5.8,"60-64",16.6
1995,"Females",2.7,4.1,"60-64",9.8
1994,"Males",4.1,5.3,"60-64",21.9
1994,"Females",1.9,2.9,"60-64",8.6
1993,"Males",4.2,5.4,"60-64",14.1
1993,"Females",1.9,2.9,"60-64",6.4
1992,"Males",3.9,4.9,"60-64",11.7
1992,"Females",2.5,3.6,"60-64",8.4
1991,"Males",3.8,4.8,"60-64",6.3
1991,"Females",2.3,3.2,"60-64",12.4
1990,"Males",4,4.8,"60-64",8.3
1990,"Females",2.3,3.3,"60-64",8.2
1989,"Males",3.9,4.7,"60-64",10.5
1989,"Females",2.5,3.2,"60-64",8.2
1988,"Males",4.3,5.1,"60-64",13.8
1988,"Females",2.4,3.4,"60-64",2
1987,"Males",4.3,5,"60-64",23.7
1987,"Females",2.2,3.3,"60-64",10.2
1986,"Males",3.4,4,"60-64",12
1986,"Females",2.3,3,"60-64",10.2
1985,"Males",3.2,3.7,"60-64",8.9
1985,"Females",2.8,3.6,"60-64",10.3
1984,"Males",3.9,4.3,"60-64",12.5
1984,"Females",2.1,3.1,"60-64",6.3
1983,"Males",4,4.6,"60-64",15.6
1983,"Females",2.9,3.9,"60-64",8.8
1982,"Males",3.7,4.1,"60-64",8.8
1982,"Females",2.4,3.1,"60-64",6.9
2021,"Males",2.4,5.6,"65-69",11.8
2021,"Females",1.3,3.2,"65-69",4.2
2020,"Males",2.4,5.5,"65-69",11.3
2020,"Females",1,2.6,"65-69",4.3
2019,"Males",2.9,5.8,"65-69",11.6
2019,"Females",1.1,2.4,"65-69",2.5
2018,"Males",3.1,6.2,"65-69",11.1
2018,"Females",1.2,2.8,"65-69",4.5
2017,"Males",2.6,5.2,"65-69",13.2
2017,"Females",1.6,3.5,"65-69",8.5
2016,"Males",3,5.8,"65-69",13.9
2016,"Females",1.4,2.7,"65-69",7.3
2015,"Males",3.8,7.3,"65-69",17.2
2015,"Females",1.8,3.6,"65-69",1.4
2014,"Males",3.5,6.6,"65-69",12.6
2014,"Females",1.4,3,"65-69",3.6
2013,"Males",5,8.8,"65-69",29.3
2013,"Females",2,4.1,"65-69",8.1
2012,"Males",4,7.6,"65-69",18
2012,"Females",1.8,3.6,"65-69",9.4
2011,"Males",4.7,8,"65-69",14
2011,"Females",2,3.8,"65-69",6.7
2010,"Males",4.5,7.7,"65-69",23
2010,"Females",1.7,3.4,"65-69",7.1
2009,"Males",4.9,8.3,"65-69",23.9
2009,"Females",1.8,3.6,"65-69",6.5
2008,"Males",4.3,7.2,"65-69",22.9
2008,"Females",1.8,3.5,"65-69",7.7
2007,"Males",4.5,7.4,"65-69",17.4
2007,"Females",2,3.6,"65-69",3
2006,"Males",4,6.8,"65-69",15.9
2006,"Females",2.2,4.1,"65-69",6.1
2005,"Males",3.9,6.3,"65-69",19.6
2005,"Females",1.9,3.3,"65-69",9.4
2004,"Males",4.6,7.2,"65-69",23.6
2004,"Females",2,3.6,"65-69",6.4
2003,"Males",4.2,6.5,"65-69",20.7
2003,"Females",1.9,3.2,"65-69",9.8
2002,"Males",3.6,5.6,"65-69",24.6
2002,"Females",1.9,3.4,"65-69",5.5
2001,"Males",3.7,5.5,"65-69",17.9
2001,"Females",2,3.4,"65-69",6.8
2000,"Males",3.7,5.6,"65-69",18
2000,"Females",2.2,3.7,"65-69",7.9
1999,"Males",3.6,5.1,"65-69",10.7
1999,"Females",2.3,3.5,"65-69",11.2
1998,"Males",4.3,6,"65-69",15.3
1998,"Females",2.1,3.6,"65-69",6.7
1997,"Males",4,5.5,"65-69",25.7
1997,"Females",2.1,3.5,"65-69",10
1996,"Males",4.3,5.9,"65-69",29.1
1996,"Females",1.5,2.9,"65-69",4.4
1995,"Males",4.5,5.8,"65-69",18.7
1995,"Females",2.7,4.1,"65-69",12
1994,"Males",4.1,5.3,"65-69",16.5
1994,"Females",1.9,2.9,"65-69",9.8
1993,"Males",4.2,5.4,"65-69",9.4
1993,"Females",1.9,2.9,"65-69",5.4
1992,"Males",3.9,4.9,"65-69",15.6
1992,"Females",2.5,3.6,"65-69",9.7
1991,"Males",3.8,4.8,"65-69",14.6
1991,"Females",2.3,3.2,"65-69",6.5
1990,"Males",4,4.8,"65-69",13.7
1990,"Females",2.3,3.3,"65-69",7.7
1989,"Males",3.9,4.7,"65-69",15.3
1989,"Females",2.5,3.2,"65-69",8.9
1988,"Males",4.3,5.1,"65-69",16.1
1988,"Females",2.4,3.4,"65-69",8.2
1987,"Males",4.3,5,"65-69",16.9
1987,"Females",2.2,3.3,"65-69",3.7
1986,"Males",3.4,4,"65-69",10.3
1986,"Females",2.3,3,"65-69",8.9
1985,"Males",3.2,3.7,"65-69",13.9
1985,"Females",2.8,3.6,"65-69",5.3
1984,"Males",3.9,4.3,"65-69",22
1984,"Females",2.1,3.1,"65-69",8
1983,"Males",4,4.6,"65-69",10.8
1983,"Females",2.9,3.9,"65-69",7.9
1982,"Males",3.7,4.1,"65-69",19.8
1982,"Females",2.4,3.1,"65-69",11.7
2021,"Males",2.4,5.6,"70-74",17
2021,"Females",1.3,3.2,"70-74",13
2020,"Males",2.4,5.5,"70-74",12.8
2020,"Females",1,2.6,"70-74",3.5
2019,"Males",2.9,5.8,"70-74",28.4
2019,"Females",1.1,2.4,"70-74",6.7
2018,"Males",3.1,6.2,"70-74",25.4
2018,"Females",1.2,2.8,"70-74",7.7
2017,"Males",2.6,5.2,"70-74",19.9
2017,"Females",1.6,3.5,"70-74",10.7
2016,"Males",3,5.8,"70-74",16.8
2016,"Females",1.4,2.7,"70-74",8.8
2015,"Males",3.8,7.3,"70-74",19.6
2015,"Females",1.8,3.6,"70-74",11.1
2014,"Males",3.5,6.6,"70-74",25.5
2014,"Females",1.4,3,"70-74",16.3
2013,"Males",5,8.8,"70-74",30.8
2013,"Females",2,4.1,"70-74",14
2012,"Males",4,7.6,"70-74",34.9
2012,"Females",1.8,3.6,"70-74",10.3
2011,"Males",4.7,8,"70-74",36.2
2011,"Females",2,3.8,"70-74",9.6
2010,"Males",4.5,7.7,"70-74",32.8
2010,"Females",1.7,3.4,"70-74",12
2009,"Males",4.9,8.3,"70-74",32.9
2009,"Females",1.8,3.6,"70-74",7.8
2008,"Males",4.3,7.2,"70-74",39
2008,"Females",1.8,3.5,"70-74",10.3
2007,"Males",4.5,7.4,"70-74",20.7
2007,"Females",2,3.6,"70-74",12.9
2006,"Males",4,6.8,"70-74",27.8
2006,"Females",2.2,4.1,"70-74",12
2005,"Males",3.9,6.3,"70-74",22.7
2005,"Females",1.9,3.3,"70-74",8.5
2004,"Males",4.6,7.2,"70-74",26.6
2004,"Females",2,3.6,"70-74",13.2
2003,"Males",4.2,6.5,"70-74",23.8
2003,"Females",1.9,3.2,"70-74",10.7
2002,"Males",3.6,5.6,"70-74",24.9
2002,"Females",1.9,3.4,"70-74",13
2001,"Males",3.7,5.5,"70-74",26.1
2001,"Females",2,3.4,"70-74",10.5
2000,"Males",3.7,5.6,"70-74",31.6
2000,"Females",2.2,3.7,"70-74",9.3
1999,"Males",3.6,5.1,"70-74",28.2
1999,"Females",2.3,3.5,"70-74",8.1
1998,"Males",4.3,6,"70-74",30.1
1998,"Females",2.1,3.6,"70-74",12.8
1997,"Males",4,5.5,"70-74",21
1997,"Females",2.1,3.5,"70-74",17.6
1996,"Males",4.3,5.9,"70-74",22.9
1996,"Females",1.5,2.9,"70-74",10.6
1995,"Males",4.5,5.8,"70-74",26.3
1995,"Females",2.7,4.1,"70-74",16.7
1994,"Males",4.1,5.3,"70-74",29.9
1994,"Females",1.9,2.9,"70-74",9.7
1993,"Males",4.2,5.4,"70-74",28.4
1993,"Females",1.9,2.9,"70-74",12.7
1992,"Males",3.9,4.9,"70-74",21.6
1992,"Females",2.5,3.6,"70-74",14.6
1991,"Males",3.8,4.8,"70-74",19.1
1991,"Females",2.3,3.2,"70-74",12.4
1990,"Males",4,4.8,"70-74",25.5
1990,"Females",2.3,3.3,"70-74",11.5
1989,"Males",3.9,4.7,"70-74",22.4
1989,"Females",2.5,3.2,"70-74",10.3
1988,"Males",4.3,5.1,"70-74",16.7
1988,"Females",2.4,3.4,"70-74",10.1
1987,"Males",4.3,5,"70-74",21.9
1987,"Females",2.2,3.3,"70-74",14.2
1986,"Males",3.4,4,"70-74",14.8
1986,"Females",2.3,3,"70-74",8.6
1985,"Males",3.2,3.7,"70-74",20.5
1985,"Females",2.8,3.6,"70-74",8.7
1984,"Males",3.9,4.3,"70-74",11.4
1984,"Females",2.1,3.1,"70-74",14.8
1983,"Males",4,4.6,"70-74",17.8
1983,"Females",2.9,3.9,"70-74",9.2
1982,"Males",3.7,4.1,"70-74",18.5
1982,"Females",2.4,3.1,"70-74",17.3
2021,"Males",2.4,5.6,"75-79",36.4
2021,"Females",1.3,3.2,"75-79",11.3
2020,"Males",2.4,5.5,"75-79",30.5
2020,"Females",1,2.6,"75-79",11.8
2019,"Males",2.9,5.8,"75-79",29.8
2019,"Females",1.1,2.4,"75-79",8.2
2018,"Males",3.1,6.2,"75-79",33.4
2018,"Females",1.2,2.8,"75-79",18.2
2017,"Males",2.6,5.2,"75-79",25.9
2017,"Females",1.6,3.5,"75-79",9.9
2016,"Males",3,5.8,"75-79",25.7
2016,"Females",1.4,2.7,"75-79",12.5
2015,"Males",3.8,7.3,"75-79",45.1
2015,"Females",1.8,3.6,"75-79",16.3
2014,"Males",3.5,6.6,"75-79",41.3
2014,"Females",1.4,3,"75-79",6
2013,"Males",5,8.8,"75-79",57
2013,"Females",2,4.1,"75-79",7.4
2012,"Males",4,7.6,"75-79",56
2012,"Females",1.8,3.6,"75-79",19
2011,"Males",4.7,8,"75-79",38.1
2011,"Females",2,3.8,"75-79",15.5
2010,"Males",4.5,7.7,"75-79",37.1
2010,"Females",1.7,3.4,"75-79",9.1
2009,"Males",4.9,8.3,"75-79",49.5
2009,"Females",1.8,3.6,"75-79",9.1
2008,"Males",4.3,7.2,"75-79",52.9
2008,"Females",1.8,3.5,"75-79",9.2
2007,"Males",4.5,7.4,"75-79",48.3
2007,"Females",2,3.6,"75-79",14.4
2006,"Males",4,6.8,"75-79",42.1
2006,"Females",2.2,4.1,"75-79",20.8
2005,"Males",3.9,6.3,"75-79",28.5
2005,"Females",1.9,3.3,"75-79",11.7
2004,"Males",4.6,7.2,"75-79",40.4
2004,"Females",2,3.6,"75-79",13
2003,"Males",4.2,6.5,"75-79",41.3
2003,"Females",1.9,3.2,"75-79",13.1
2002,"Males",3.6,5.6,"75-79",34
2002,"Females",1.9,3.4,"75-79",14.4
2001,"Males",3.7,5.5,"75-79",38.3
2001,"Females",2,3.4,"75-79",14.6
2000,"Males",3.7,5.6,"75-79",38
2000,"Females",2.2,3.7,"75-79",16.2
1999,"Males",3.6,5.1,"75-79",20.6
1999,"Females",2.3,3.5,"75-79",15.2
1998,"Males",4.3,6,"75-79",31.9
1998,"Females",2.1,3.6,"75-79",15.9
1997,"Males",4,5.5,"75-79",27.4
1997,"Females",2.1,3.5,"75-79",19.8
1996,"Males",4.3,5.9,"75-79",44.5
1996,"Females",1.5,2.9,"75-79",12.8
1995,"Males",4.5,5.8,"75-79",35.2
1995,"Females",2.7,4.1,"75-79",10.1
1994,"Males",4.1,5.3,"75-79",26.8
1994,"Females",1.9,2.9,"75-79",13.7
1993,"Males",4.2,5.4,"75-79",36.3
1993,"Females",1.9,2.9,"75-79",18.5
1992,"Males",3.9,4.9,"75-79",24.1
1992,"Females",2.5,3.6,"75-79",15.1
1991,"Males",3.8,4.8,"75-79",43.8
1991,"Females",2.3,3.2,"75-79",13.5
1990,"Males",4,4.8,"75-79",32.4
1990,"Females",2.3,3.3,"75-79",20.6
1989,"Males",3.9,4.7,"75-79",23
1989,"Females",2.5,3.2,"75-79",12.3
1988,"Males",4.3,5.1,"75-79",29.1
1988,"Females",2.4,3.4,"75-79",23.7
1987,"Males",4.3,5,"75-79",16.4
1987,"Females",2.2,3.3,"75-79",20.6
1986,"Males",3.4,4,"75-79",28.3
1986,"Females",2.3,3,"75-79",19.2
1985,"Males",3.2,3.7,"75-79",5.9
1985,"Females",2.8,3.6,"75-79",13.9
1984,"Males",3.9,4.3,"75-79",9.3
1984,"Females",2.1,3.1,"75-79",12.4
1983,"Males",4,4.6,"75-79",22.6
1983,"Females",2.9,3.9,"75-79",23.4
1982,"Males",3.7,4.1,"75-79",13.3
1982,"Females",2.4,3.1,"75-79",11.1
2021,"Males",2.4,5.6,"80-84",62.5
2021,"Females",1.3,3.2,"80-84",24.6
2020,"Males",2.4,5.5,"80-84",42.3
2020,"Females",1,2.6,"80-84",19.9
2019,"Males",2.9,5.8,"80-84",46
2019,"Females",1.1,2.4,"80-84",20.7
2018,"Males",3.1,6.2,"80-84",54.9
2018,"Females",1.2,2.8,"80-84",22.8
2017,"Males",2.6,5.2,"80-84",49.6
2017,"Females",1.6,3.5,"80-84",23.5
2016,"Males",3,5.8,"80-84",57.1
2016,"Females",1.4,2.7,"80-84",12
2015,"Males",3.8,7.3,"80-84",54.6
2015,"Females",1.8,3.6,"80-84",24.4
2014,"Males",3.5,6.6,"80-84",47.2
2014,"Females",1.4,3,"80-84",19.7
2013,"Males",5,8.8,"80-84",65.9
2013,"Females",2,4.1,"80-84",28.9
2012,"Males",4,7.6,"80-84",64.4
2012,"Females",1.8,3.6,"80-84",12.2
2011,"Males",4.7,8,"80-84",54.8
2011,"Females",2,3.8,"80-84",24.2
2010,"Males",4.5,7.7,"80-84",72.5
2010,"Females",1.7,3.4,"80-84",26
2009,"Males",4.9,8.3,"80-84",72.8
2009,"Females",1.8,3.6,"80-84",23.3
2008,"Males",4.3,7.2,"80-84",57.2
2008,"Females",1.8,3.5,"80-84",15.7
2007,"Males",4.5,7.4,"80-84",41.1
2007,"Females",2,3.6,"80-84",15.9
2006,"Males",4,6.8,"80-84",56.8
2006,"Females",2.2,4.1,"80-84",22.8
2005,"Males",3.9,6.3,"80-84",69.3
2005,"Females",1.9,3.3,"80-84",21.5
2004,"Males",4.6,7.2,"80-84",54.2
2004,"Females",2,3.6,"80-84",22
2003,"Males",4.2,6.5,"80-84",57.8
2003,"Females",1.9,3.2,"80-84",23.1
2002,"Males",3.6,5.6,"80-84",38.1
2002,"Females",1.9,3.4,"80-84",20.5
2001,"Males",3.7,5.5,"80-84",28.2
2001,"Females",2,3.4,"80-84",19.5
2000,"Males",3.7,5.6,"80-84",40.5
2000,"Females",2.2,3.7,"80-84",18.6
1999,"Males",3.6,5.1,"80-84",42.7
1999,"Females",2.3,3.5,"80-84",8.6
1998,"Males",4.3,6,"80-84",32.3
1998,"Females",2.1,3.6,"80-84",25.8
1997,"Males",4,5.5,"80-84",36.1
1997,"Females",2.1,3.5,"80-84",10.8
1996,"Males",4.3,5.9,"80-84",36.6
1996,"Females",1.5,2.9,"80-84",23.9
1995,"Males",4.5,5.8,"80-84",37.6
1995,"Females",2.7,4.1,"80-84",17.7
1994,"Males",4.1,5.3,"80-84",15.5
1994,"Females",1.9,2.9,"80-84",15.9
1993,"Males",4.2,5.4,"80-84",28.5
1993,"Females",1.9,2.9,"80-84",9.6
1992,"Males",3.9,4.9,"80-84",42.7
1992,"Females",2.5,3.6,"80-84",22.4
1991,"Males",3.8,4.8,"80-84",40
1991,"Females",2.3,3.2,"80-84",10.3
1990,"Males",4,4.8,"80-84",27.8
1990,"Females",2.3,3.3,"80-84",10.6
1989,"Males",3.9,4.7,"80-84",24.4
1989,"Females",2.5,3.2,"80-84",8.2
1988,"Males",4.3,5.1,"80-84",20.2
1988,"Females",2.4,3.4,"80-84",8.5
1987,"Males",4.3,5,"80-84",37
1987,"Females",2.2,3.3,"80-84",20.4
1986,"Males",3.4,4,"80-84",11.2
1986,"Females",2.3,3,"80-84",6
1985,"Males",3.2,3.7,"80-84",28.7
1985,"Females",2.8,3.6,"80-84",12.3
1984,"Males",3.9,4.3,"80-84",12
1984,"Females",2.1,3.1,"80-84",31.3
1983,"Males",4,4.6,"80-84",31.6
1983,"Females",2.9,3.9,"80-84",16.3
1982,"Males",3.7,4.1,"80-84",26.7
1982,"Females",2.4,3.1,"80-84",10.1
2021,"Males",2.4,5.6,"85+",61.9
2021,"Females",1.3,3.2,"85+",31.7
2020,"Males",2.4,5.5,"85+",121.8
2020,"Females",1,2.6,"85+",36.1
2019,"Males",2.9,5.8,"85+",80.1
2019,"Females",1.1,2.4,"85+",26.1
2018,"Males",3.1,6.2,"85+",79
2018,"Females",1.2,2.8,"85+",29.1
2017,"Males",2.6,5.2,"85+",75.4
2017,"Females",1.6,3.5,"85+",40.7
2016,"Males",3,5.8,"85+",84.1
2016,"Females",1.4,2.7,"85+",22.6
2015,"Males",3.8,7.3,"85+",105.8
2015,"Females",1.8,3.6,"85+",30.9
2014,"Males",3.5,6.6,"85+",99.8
2014,"Females",1.4,3,"85+",30.5
2013,"Males",5,8.8,"85+",76
2013,"Females",2,4.1,"85+",43.6
2012,"Males",4,7.6,"85+",91.5
2012,"Females",1.8,3.6,"85+",32.3
2011,"Males",4.7,8,"85+",100.2
2011,"Females",2,3.8,"85+",32.1
2010,"Males",4.5,7.7,"85+",64.6
2010,"Females",1.7,3.4,"85+",22.7
2009,"Males",4.9,8.3,"85+",84.3
2009,"Females",1.8,3.6,"85+",41.2
2008,"Males",4.3,7.2,"85+",56.4
2008,"Females",1.8,3.5,"85+",41.2
2007,"Males",4.5,7.4,"85+",94.8
2007,"Females",2,3.6,"85+",35.9
2006,"Males",4,6.8,"85+",105.8
2006,"Females",2.2,4.1,"85+",28.7
2005,"Males",3.9,6.3,"85+",52.9
2005,"Females",1.9,3.3,"85+",18.8
2004,"Males",4.6,7.2,"85+",78.4
2004,"Females",2,3.6,"85+",25.6
2003,"Males",4.2,6.5,"85+",71.2
2003,"Females",1.9,3.2,"85+",12
2002,"Males",3.6,5.6,"85+",68
2002,"Females",1.9,3.4,"85+",22.4
2001,"Males",3.7,5.5,"85+",60.8
2001,"Females",2,3.4,"85+",20.9
2000,"Males",3.7,5.6,"85+",39.4
2000,"Females",2.2,3.7,"85+",34.8
1999,"Males",3.6,5.1,"85+",57.2
1999,"Females",2.3,3.5,"85+",20.6
1998,"Males",4.3,6,"85+",72.3
1998,"Females",2.1,3.6,"85+",33.8
1997,"Males",4,5.5,"85+",41.6
1997,"Females",2.1,3.5,"85+",27.7
1996,"Males",4.3,5.9,"85+",69
1996,"Females",1.5,2.9,"85+",39.7
1995,"Males",4.5,5.8,"85+",19.9
1995,"Females",2.7,4.1,"85+",33.2
1994,"Males",4.1,5.3,"85+",42.4
1994,"Females",1.9,2.9,"85+",14.5
1993,"Males",4.2,5.4,"85+",52
1993,"Females",1.9,2.9,"85+",24
1992,"Males",3.9,4.9,"85+",39.2
1992,"Females",2.5,3.6,"85+",15.7
1991,"Males",3.8,4.8,"85+",41.7
1991,"Females",2.3,3.2,"85+",23
1990,"Males",4,4.8,"85+",44.6
1990,"Females",2.3,3.3,"85+",17.1
1989,"Males",3.9,4.7,"85+",27.9
1989,"Females",2.5,3.2,"85+",7
1988,"Males",4.3,5.1,"85+",68.6
1988,"Females",2.4,3.4,"85+",25.1
1987,"Males",4.3,5,"85+",81.6
1987,"Females",2.2,3.3,"85+",29.5
1986,"Males",3.4,4,"85+",0
1986,"Females",2.3,3,"85+",3.8
1985,"Males",3.2,3.7,"85+",57.7
1985,"Females",2.8,3.6,"85+",24.1
1984,"Males",3.9,4.3,"85+",25
1984,"Females",2.1,3.1,"85+",25.7
1983,"Males",4,4.6,"85+",13
1983,"Females",2.9,3.9,"85+",40.1
1982,"Males",3.7,4.1,"85+",13.4
1982,"Females",2.4,3.1,"85+",18.5
